file_path,file_name,format,sources,metadata,status,date_saved
data layers
data/raw/pulbic, wards, Resillence Academy, 10/11/21
code layers
procedure/code, 01-rscript.r, 10/11/21
results
data/derrived/public, AmbulanceAccessSummary, GEOpackage, 10/11/21
